***,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,class
532090,1.83E-001,1.43E-006,3.35E-006,2.90E+000,1.00E-003,3.28E-002,3.54E-002,3.60E-002,6.20E+000,6.91E-001,8.42E-002,4.04E-002,0
532091,1.98E-001,8.59E-007,1.63E-006,2.71E+000,1.20E-003,3.40E-002,3.57E-002,3.64E-002,6.22E+000,6.93E-001,8.39E-002,4.01E-002,0
532092,1.83E-001,1.31E-006,2.13E-006,2.72E+000,1.16E-003,3.36E-002,3.58E-002,3.65E-002,6.22E+000,6.92E-001,8.37E-002,4.01E-002,0
532093,2.01E-001,1.25E-006,2.85E-006,2.48E+000,1.06E-003,3.42E-002,3.69E-002,3.77E-002,6.18E+000,6.88E-001,8.35E-002,3.99E-002,0
532094,1.99E-001,1.51E-006,2.20E-006,2.28E+000,9.07E-004,3.42E-002,3.58E-002,3.63E-002,6.14E+000,6.87E-001,8.35E-002,3.99E-002,0
532095,1.87E-001,1.62E-006,2.10E-006,2.55E+000,9.77E-004,3.33E-002,3.55E-002,3.62E-002,6.21E+000,6.94E-001,8.35E-002,3.98E-002,0
532096,1.80E-001,1.66E-006,3.41E-006,2.49E+000,1.11E-003,3.37E-002,3.61E-002,3.68E-002,6.21E+000,6.91E-001,8.41E-002,4.04E-002,0
532097,1.80E-001,2.26E-006,3.24E-006,2.89E+000,9.70E-004,3.40E-002,3.62E-002,3.68E-002,6.17E+000,6.89E-001,8.36E-002,3.99E-002,0
532098,1.98E-001,1.49E-006,3.12E-006,2.58E+000,9.56E-004,3.40E-002,3.66E-002,3.73E-002,6.19E+000,6.95E-001,8.40E-002,4.04E-002,0
532099,1.85E-001,9.42E-007,2.68E-006,2.96E+000,1.15E-003,3.37E-002,3.59E-002,3.65E-002,6.21E+000,6.91E-001,8.32E-002,3.95E-002,0
532100,1.75E-001,3.37E-007,2.71E-006,2.53E+000,8.96E-004,3.27E-002,3.63E-002,3.69E-002,6.17E+000,6.92E-001,8.38E-002,4.01E-002,0
532103,1.88E-001,2.02E-006,3.67E-006,2.60E+000,1.16E-003,3.53E-002,3.65E-002,3.72E-002,6.17E+000,6.93E-001,8.42E-002,4.04E-002,0
1857005,1.60E-001,1.14E-006,1.62E-006,2.93E+000,3.90E-005,3.53E-002,3.73E-002,3.80E-002,6.25E+000,7.01E-001,8.58E-002,4.18E-002,1
1857006,1.78E-001,1.99E-006,1.08E-006,2.43E+000,4.50E-005,3.80E-002,3.94E-002,4.01E-002,6.23E+000,6.97E-001,8.54E-002,4.14E-002,1
1857007,1.50E-001,1.59E-006,1.97E-006,2.90E+000,4.40E-005,3.77E-002,3.92E-002,3.98E-002,6.25E+000,6.99E-001,8.54E-002,4.14E-002,1
1857008,1.58E-001,1.75E-006,1.57E-006,2.63E+000,3.10E-005,3.80E-002,3.92E-002,3.98E-002,6.24E+000,6.99E-001,8.51E-002,4.10E-002,1
1857009,1.76E-001,7.41E-007,2.43E-006,2.58E+000,2.70E-005,3.63E-002,3.87E-002,3.94E-002,6.24E+000,6.98E-001,8.47E-002,4.07E-002,1
1857010,1.62E-001,1.42E-006,1.86E-006,2.92E+000,3.30E-005,3.34E-002,3.50E-002,3.54E-002,6.28E+000,7.02E-001,8.61E-002,4.20E-002,1
1857011,1.69E-001,1.28E-006,1.78E-006,2.83E+000,3.60E-005,3.78E-002,3.95E-002,4.02E-002,6.26E+000,6.99E-001,8.51E-002,4.10E-002,1
1857012,1.78E-001,1.91E-006,1.53E-006,2.79E+000,5.20E-005,3.68E-002,3.88E-002,3.95E-002,6.27E+000,7.00E-001,8.51E-002,4.09E-002,1
1857013,1.77E-001,1.57E-006,1.49E-006,2.79E+000,3.40E-005,3.72E-002,3.96E-002,4.04E-002,6.24E+000,6.97E-001,8.53E-002,4.14E-002,1
1857014,1.69E-001,1.29E-006,1.09E-006,3.00E+000,2.00E-005,3.63E-002,3.84E-002,3.92E-002,6.27E+000,6.97E-001,8.54E-002,4.14E-002,1
1857015,1.60E-001,2.16E-006,1.43E-006,2.80E+000,3.60E-005,3.43E-002,3.62E-002,3.66E-002,6.27E+000,7.03E-001,8.59E-002,4.19E-002,1
1857016,1.80E-001,1.02E-006,1.83E-006,2.84E+000,2.60E-005,3.80E-002,4.03E-002,4.10E-002,6.28E+000,6.99E-001,8.55E-002,4.15E-002,1
1857017,1.69E-001,1.29E-006,1.29E-006,2.88E+000,5.60E-005,3.45E-002,3.61E-002,3.66E-002,6.25E+000,6.97E-001,8.49E-002,4.10E-002,1
1857018,1.73E-001,7.87E-007,2.44E-006,2.63E+000,2.60E-005,3.31E-002,3.47E-002,3.53E-002,6.27E+000,6.99E-001,8.56E-002,4.15E-002,1
1857019,1.73E-001,1.10E-006,1.54E-006,2.73E+000,3.60E-005,3.53E-002,3.67E-002,3.73E-002,6.22E+000,6.99E-001,8.54E-002,4.16E-002,1
1857020,1.79E-001,9.23E-007,2.38E-006,2.98E+000,1.86E-004,3.60E-002,3.81E-002,3.88E-002,6.27E+000,7.00E-001,8.57E-002,4.15E-002,1
1857021,1.66E-001,1.38E-006,1.87E-006,2.69E+000,4.80E-005,3.74E-002,3.94E-002,4.00E-002,6.24E+000,6.99E-001,8.51E-002,4.11E-002,1
1857022,1.68E-001,7.94E-007,1.73E-006,2.99E+000,4.50E-005,3.71E-002,3.85E-002,3.92E-002,6.27E+000,6.99E-001,8.57E-002,4.17E-002,1
1857023,1.73E-001,1.91E-006,1.71E-006,2.60E+000,3.70E-005,3.60E-002,3.80E-002,3.87E-002,6.27E+000,7.01E-001,8.56E-002,4.16E-002,1
1857024,1.62E-001,1.45E-006,2.00E-006,2.80E+000,4.50E-005,3.78E-002,4.00E-002,4.08E-002,6.28E+000,7.01E-001,8.54E-002,4.10E-002,1
1857025,1.70E-001,1.23E-006,2.58E-006,2.61E+000,4.70E-005,3.56E-002,3.74E-002,3.80E-002,6.28E+000,6.99E-001,8.51E-002,4.11E-002,1
1857026,1.66E-001,1.18E-006,1.61E-006,2.84E+000,4.30E-005,3.56E-002,3.82E-002,3.89E-002,6.26E+000,6.98E-001,8.51E-002,4.09E-002,1
1857027,1.75E-001,1.64E-006,1.16E-006,2.76E+000,4.10E-005,3.62E-002,3.77E-002,3.83E-002,6.24E+000,6.99E-001,8.58E-002,4.18E-002,1
1857028,1.62E-001,2.08E-006,1.48E-006,2.92E+000,2.60E-005,3.66E-002,3.86E-002,3.92E-002,6.26E+000,7.01E-001,8.58E-002,4.18E-002,1
1857029,1.75E-001,1.45E-006,2.14E-006,3.05E+000,4.70E-005,3.72E-002,3.91E-002,3.97E-002,6.26E+000,6.97E-001,8.55E-002,4.15E-002,1
1857030,1.73E-001,1.92E-006,1.87E-006,2.93E+000,5.10E-005,3.95E-002,4.12E-002,4.20E-002,6.27E+000,7.01E-001,8.63E-002,4.21E-002,1
1857031,1.79E-001,1.92E-006,2.15E-006,2.71E+000,5.10E-005,3.57E-002,3.83E-002,3.90E-002,6.25E+000,6.99E-001,8.55E-002,4.15E-002,1
1857032,1.86E-001,9.97E-007,1.95E-006,2.57E+000,3.70E-005,3.59E-002,3.76E-002,3.82E-002,6.26E+000,6.98E-001,8.49E-002,4.08E-002,1
1857033,1.81E-001,1.35E-006,2.29E-006,2.81E+000,4.50E-005,3.72E-002,3.95E-002,4.01E-002,6.25E+000,6.98E-001,8.58E-002,4.17E-002,1
1857034,1.74E-001,1.82E-006,2.23E-006,3.06E+000,3.20E-005,3.22E-002,3.38E-002,3.44E-002,6.29E+000,6.97E-001,8.49E-002,4.08E-002,0
1857035,1.90E-001,1.30E-006,1.94E-006,2.77E+000,5.50E-005,3.40E-002,3.64E-002,3.68E-002,6.22E+000,6.91E-001,8.41E-002,4.04E-002,0
1857039,2.01E-001,2.20E-006,1.47E-006,2.81E+000,5.90E-005,3.57E-002,3.83E-002,3.90E-002,6.26E+000,6.98E-001,8.50E-002,4.10E-002,1
1857040,2.13E-001,2.26E-006,1.79E-006,2.80E+000,4.50E-005,3.59E-002,3.87E-002,3.93E-002,6.25E+000,6.98E-001,8.56E-002,4.16E-002,1
1857041,1.94E-001,1.99E-006,1.56E-006,2.55E+000,3.90E-005,3.72E-002,3.97E-002,4.06E-002,6.23E+000,6.98E-001,8.55E-002,4.15E-002,1
1857042,2.14E-001,1.45E-006,2.82E-006,2.38E+000,5.30E-005,3.69E-002,3.92E-002,3.99E-002,6.20E+000,6.97E-001,8.64E-002,4.24E-002,1
1857043,2.08E-001,1.67E-006,3.32E-006,2.63E+000,3.30E-005,3.48E-002,3.74E-002,3.80E-002,6.23E+000,6.98E-001,8.46E-002,4.07E-002,1
1857044,2.01E-001,2.27E-006,2.38E-006,2.73E+000,5.30E-005,3.31E-002,3.53E-002,3.58E-002,6.25E+000,6.99E-001,8.55E-002,4.14E-002,1
1857045,1.88E-001,1.41E-005,1.49E-005,3.00E+000,6.00E-006,3.62E-002,3.92E-002,4.00E-002,6.25E+000,6.99E-001,8.51E-002,4.12E-002,1
1857046,1.99E-001,3.27E-006,2.54E-006,2.96E+000,4.10E-005,3.63E-002,3.91E-002,3.97E-002,6.28E+000,7.00E-001,8.50E-002,4.09E-002,1
