***,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,class
175,1.70E-005,5.18E-001,6.00E-005,9.57E-001,2.69E-005,5.20E-005,5.23E-005,2.01E-001,3.88E-001,4.50E-001,6.21E-001,9.50E-001,0
176,9.00E-006,5.47E-001,1.04E-004,9.20E-001,2.67E-005,6.36E-005,9.64E-005,2.29E-001,4.17E-001,4.75E-001,6.39E-001,9.18E-001,1
177,1.60E-005,5.17E-001,1.07E-004,9.25E-001,2.71E-005,6.19E-005,8.46E-005,1.99E-001,3.87E-001,4.50E-001,6.16E-001,9.22E-001,0
178,1.40E-005,5.16E-001,7.40E-005,9.39E-001,2.94E-005,5.96E-005,6.72E-005,2.00E-001,3.87E-001,4.49E-001,6.17E-001,9.33E-001,0
179,3.00E-006,5.15E-001,4.20E-005,9.71E-001,2.50E-005,4.83E-005,2.98E-005,1.92E-001,3.83E-001,4.48E-001,6.17E-001,9.67E-001,0
180,2.00E-006,5.18E-001,1.15E-004,9.30E-001,2.58E-005,6.86E-005,1.09E-004,2.00E-001,3.90E-001,4.51E-001,6.14E-001,9.25E-001,0
181,1.00E-005,5.20E-001,4.90E-005,9.39E-001,3.05E-005,5.30E-005,4.23E-005,2.03E-001,3.91E-001,4.55E-001,6.21E-001,9.34E-001,0
182,1.60E-005,5.26E-001,1.60E-005,9.80E-001,2.49E-005,4.30E-005,9.50E-006,2.10E-001,3.94E-001,4.57E-001,6.25E-001,9.81E-001,1
183,4.00E-006,5.28E-001,4.20E-005,9.27E-001,2.73E-005,5.08E-005,3.09E-005,2.15E-001,4.01E-001,4.58E-001,6.21E-001,9.25E-001,1
184,7.00E-006,5.30E-001,2.90E-005,9.25E-001,2.59E-005,4.82E-005,2.22E-005,2.19E-001,4.04E-001,4.66E-001,6.23E-001,9.28E-001,1
185,1.60E-005,5.26E-001,2.30E-005,9.70E-001,2.45E-005,4.46E-005,1.50E-005,2.14E-001,3.99E-001,4.59E-001,6.28E-001,9.70E-001,1
186,5.00E-006,5.27E-001,1.60E-005,1.05E+000,2.74E-005,4.27E-005,1.00E-005,2.11E-001,3.97E-001,4.60E-001,6.35E-001,1.05E+000,1
187,1.60E-005,5.26E-001,1.85E-004,8.80E-001,2.88E-005,8.69E-005,1.59E-004,2.18E-001,4.03E-001,4.66E-001,6.17E-001,8.84E-001,0
188,1.70E-005,5.25E-001,4.50E-005,8.83E-001,2.66E-005,4.88E-005,3.78E-005,2.16E-001,4.02E-001,4.63E-001,6.17E-001,8.86E-001,1
189,3.00E-006,5.28E-001,8.90E-005,8.76E-001,2.70E-005,6.38E-005,8.04E-005,2.18E-001,4.03E-001,4.62E-001,6.17E-001,8.74E-001,1
190,1.30E-005,5.25E-001,6.40E-005,8.71E-001,2.49E-005,5.51E-005,5.11E-005,2.15E-001,4.01E-001,4.64E-001,6.15E-001,8.78E-001,1
191,1.20E-005,5.26E-001,5.70E-005,8.98E-001,2.72E-005,5.52E-005,5.18E-005,2.16E-001,4.03E-001,4.62E-001,6.20E-001,8.97E-001,1
192,4.00E-006,5.29E-001,1.54E-004,9.08E-001,2.66E-005,8.62E-005,1.12E-004,2.18E-001,4.03E-001,4.65E-001,6.22E-001,9.11E-001,1
193,1.00E-005,5.30E-001,5.70E-005,9.56E-001,3.12E-005,6.15E-005,4.17E-005,2.17E-001,4.02E-001,4.63E-001,6.22E-001,9.53E-001,1
194,1.30E-005,5.30E-001,1.84E-004,1.01E+000,2.98E-005,9.13E-005,1.13E-004,2.10E-001,3.97E-001,4.59E-001,6.38E-001,1.01E+000,1
195,1.00E-006,5.27E-001,7.90E-005,9.13E-001,2.43E-005,5.96E-005,5.11E-005,2.17E-001,4.02E-001,4.60E-001,6.23E-001,9.16E-001,1
196,9.00E-006,5.28E-001,6.10E-005,8.75E-001,2.57E-005,5.70E-005,5.42E-005,2.17E-001,4.03E-001,4.63E-001,6.17E-001,8.71E-001,1
197,8.00E-006,5.25E-001,2.40E-005,9.46E-001,2.54E-005,4.60E-005,1.73E-005,2.14E-001,3.99E-001,4.60E-001,6.21E-001,9.44E-001,1
198,7.00E-006,5.29E-001,4.40E-005,9.10E-001,2.51E-005,5.13E-005,3.27E-005,2.18E-001,4.02E-001,4.61E-001,6.24E-001,9.13E-001,1
199,7.00E-006,5.23E-001,6.80E-005,8.88E-001,2.70E-005,5.59E-005,5.59E-005,2.13E-001,3.99E-001,4.58E-001,6.16E-001,8.88E-001,1
200,1.20E-005,5.27E-001,6.70E-005,9.24E-001,2.52E-005,5.73E-005,4.94E-005,2.17E-001,4.01E-001,4.61E-001,6.23E-001,9.22E-001,1
201,6.00E-006,5.29E-001,1.21E-004,8.80E-001,2.57E-005,6.48E-005,9.59E-005,2.17E-001,4.02E-001,4.64E-001,6.12E-001,8.83E-001,1
202,3.00E-006,5.32E-001,2.80E-005,9.82E-001,2.56E-005,4.92E-005,2.02E-005,2.18E-001,4.04E-001,4.65E-001,6.30E-001,9.79E-001,1
203,1.00E-006,5.23E-001,2.50E-005,9.13E-001,2.42E-005,4.51E-005,1.88E-005,2.12E-001,3.96E-001,4.57E-001,6.14E-001,9.18E-001,1
204,6.00E-006,5.30E-001,1.80E-005,9.08E-001,2.39E-005,4.37E-005,1.24E-005,2.17E-001,4.02E-001,4.62E-001,6.24E-001,9.12E-001,1
205,9.00E-006,5.24E-001,2.50E-005,9.31E-001,2.97E-005,4.79E-005,1.92E-005,2.12E-001,3.98E-001,4.60E-001,6.20E-001,9.36E-001,1
206,5.00E-006,5.24E-001,5.70E-005,9.07E-001,2.53E-005,5.39E-005,4.18E-005,2.14E-001,3.99E-001,4.63E-001,6.18E-001,9.06E-001,1
207,1.60E-005,5.23E-001,2.70E-005,9.40E-001,2.87E-005,4.74E-005,2.05E-005,2.11E-001,3.97E-001,4.54E-001,6.18E-001,9.42E-001,1
208,1.50E-005,5.27E-001,2.70E-005,1.00E+000,2.62E-005,4.58E-005,2.03E-005,2.15E-001,4.00E-001,4.61E-001,6.27E-001,1.01E+000,1
209,3.00E-006,5.24E-001,6.40E-005,8.86E-001,3.09E-005,6.46E-005,5.95E-005,2.13E-001,3.98E-001,4.60E-001,6.16E-001,8.87E-001,1
210,6.00E-006,5.26E-001,1.50E-005,1.02E+000,2.43E-005,4.33E-005,8.90E-006,2.12E-001,3.98E-001,4.61E-001,6.34E-001,1.02E+000,1
211,3.00E-006,5.28E-001,4.40E-005,9.04E-001,2.48E-005,4.98E-005,3.28E-005,2.18E-001,4.02E-001,4.67E-001,6.17E-001,9.09E-001,1
212,0.00E+000,5.31E-001,6.60E-005,8.88E-001,2.64E-005,5.29E-005,5.20E-005,2.18E-001,4.03E-001,4.64E-001,6.16E-001,8.88E-001,1
213,5.00E-006,5.32E-001,5.90E-005,8.81E-001,2.49E-005,5.36E-005,5.14E-005,2.22E-001,4.07E-001,4.70E-001,6.18E-001,8.82E-001,1
214,7.00E-006,5.26E-001,3.70E-005,9.20E-001,2.65E-005,4.68E-005,3.09E-005,2.16E-001,4.01E-001,4.64E-001,6.24E-001,9.20E-001,1
215,8.00E-006,5.28E-001,5.50E-005,9.24E-001,2.74E-005,5.06E-005,4.06E-005,2.18E-001,4.05E-001,4.64E-001,6.24E-001,9.24E-001,1
216,8.00E-006,5.28E-001,3.60E-005,9.87E-001,2.42E-005,4.60E-005,2.51E-005,2.15E-001,4.00E-001,4.61E-001,6.30E-001,9.91E-001,1
217,1.10E-005,5.26E-001,3.10E-005,9.29E-001,2.72E-005,4.91E-005,2.48E-005,2.14E-001,4.00E-001,4.61E-001,6.16E-001,9.25E-001,1
218,3.00E-006,5.29E-001,8.70E-005,8.61E-001,2.79E-005,6.24E-005,8.05E-005,2.17E-001,4.03E-001,4.65E-001,6.13E-001,8.61E-001,1
219,2.00E-005,5.32E-001,8.30E-005,1.04E+000,2.84E-005,6.18E-005,4.90E-005,2.09E-001,3.97E-001,4.63E-001,6.42E-001,1.04E+000,1
220,9.00E-006,5.27E-001,2.40E-005,9.09E-001,2.51E-005,4.56E-005,1.78E-005,2.14E-001,3.99E-001,4.60E-001,6.20E-001,9.14E-001,1
221,6.00E-006,5.28E-001,3.90E-005,8.77E-001,2.45E-005,4.91E-005,3.26E-005,2.17E-001,4.02E-001,4.63E-001,6.10E-001,8.79E-001,1
222,8.00E-006,5.30E-001,2.80E-005,9.13E-001,2.72E-005,4.57E-005,2.21E-005,2.19E-001,4.04E-001,4.62E-001,6.24E-001,9.17E-001,1
223,9.00E-006,5.31E-001,3.80E-005,9.20E-001,3.02E-005,5.58E-005,3.18E-005,2.20E-001,4.06E-001,4.66E-001,6.20E-001,9.21E-001,1
224,4.00E-006,5.26E-001,2.70E-005,9.15E-001,2.54E-005,4.58E-005,2.00E-005,2.16E-001,4.02E-001,4.62E-001,6.20E-001,9.17E-001,1
225,6.00E-006,5.25E-001,3.50E-005,9.90E-001,2.49E-005,4.82E-005,2.68E-005,2.11E-001,3.96E-001,4.59E-001,6.27E-001,9.89E-001,1
226,1.20E-005,5.26E-001,2.90E-005,9.55E-001,2.64E-005,4.88E-005,2.21E-005,2.16E-001,4.02E-001,4.63E-001,6.24E-001,9.57E-001,1
227,2.00E-006,5.23E-001,5.80E-005,8.68E-001,2.57E-005,5.40E-005,5.08E-005,2.14E-001,3.99E-001,4.60E-001,6.11E-001,8.72E-001,1
228,3.00E-006,5.24E-001,1.70E-005,9.46E-001,2.59E-005,4.19E-005,1.14E-005,2.13E-001,3.98E-001,4.59E-001,6.21E-001,9.42E-001,1
229,5.00E-006,5.30E-001,4.90E-005,9.15E-001,2.71E-005,5.08E-005,3.76E-005,2.18E-001,4.03E-001,4.62E-001,6.20E-001,9.17E-001,1
230,5.00E-006,5.27E-001,2.40E-005,9.81E-001,2.47E-005,4.55E-005,1.67E-005,2.14E-001,3.99E-001,4.61E-001,6.25E-001,9.82E-001,1
231,4.00E-006,5.29E-001,7.40E-005,8.82E-001,2.44E-005,5.60E-005,5.80E-005,2.18E-001,4.03E-001,4.64E-001,6.18E-001,8.85E-001,1
232,4.00E-006,5.10E-001,5.40E-005,8.64E-001,2.79E-005,5.54E-005,4.93E-005,1.99E-001,3.85E-001,4.46E-001,5.97E-001,8.65E-001,0
233,5.00E-006,5.15E-001,1.84E-004,8.83E-001,2.86E-005,8.09E-005,1.31E-004,2.03E-001,3.89E-001,4.48E-001,6.04E-001,8.80E-001,0
